lemma	def
Μαμερτῖνος	Mamertine
Μαυρούσιος	Mauretanian
Μεγαρίς	Megarian (territory, ship)
Μεγαρικός	Megarian
Μεθώνη	Methone
Μελιταῖος	of or from Melita (Malta)
Μενδαῖος	of Mende, a town on the west coast of Pallene
Μεσσάπιος	Messapian
Μεσσήνη	Messene
Μεσσήνιος	of Messene
Μηδικός	the war with the Medes
Μηθυμναῖος	of Methymna
Μηλιεύς	an inhabitant of Malis
Μιλήσιος	Milesian
Μιλώνιος	partisan of Milo
Μιντουρναῖοι	inhabitants of Minturnae
Μινύειος	Minyan (LSJ sv Μινύαι)
Μινώϊος	of Minos, fictitious month name
Μολοσσός	Molossian
Μορύχιος	of Morychus
Μουνιχία	Munychia, (adj) epithet of Artemis
Μούσειος	of or belonging to the Muses
Μυκηναῖος	Mycenaean
Μυλαῖος	of Mylae
Μυρρινούσιος	an inhabitant of Myrrhinous (Μυρρινοῦς, Attic deme)
Μυτιληναῖος	of Mytilene
Μύσιος	of Mysia, (Aesch.) subst. a Mysian dirge
Μῄων	Maeonian
Νέμειος	Nemean
Νέστωρ	Nestor
Ναξιουργής	of Naxian work
Ναυπάκτιος	of Naupactus
Νειλοθερής	burnt by the Nile
Νειλώτης	in or on the Nile
Νεστόρεος	of Nestor
Νηλήϊος	of Neleus, Neleian.
Νυσαῖος	(adj.) of Nysa; (pr.n.) Nysaeus
Νῦσα	Nysa
Ξάνθιος	of Xanthus, Xanthian
Οἰνοῦσσαι	Oenusae
Οὐενούσιοι	inhabitants of Venusia
Οὐολούσιος	Volusius
Πάνδια	a feast of Zeus
Πάνειος	panic
Πάριος	from the island of Paros
Πάφος	Paphos
Παιανιεύς	of the deme of Paiania
Παιώνιος	belonging to Paeon
Παναθήναια	the Panathenaea
Παναθηναϊκός	of, for
Παναχαιοί	all the Achaians
Πανδάρεος	Pandareüs
Πανδελέτειος	knavish like Pandeletus
Πανικός	of or for Pan
Παράλιος	(pr.n.) Paralius, (adj.) of Paralos
Παραύαιος	Parauaean, Lat. Paravaei, an Epirot people
Παρθικός	Parthian
Παρθυαῖος	Parthian
Παρθυικός	Parthian
Παρνάσιος	Parnassian
Παρνήθιος	of Mt. Parnes
Πειραικός	over the border
Πεισιανάκτειος	of Peisianax
Πελασγικός	Pelasgian
Πελιάς	daughter of king Pelias of Kolchis
Πελοποννήσιος	Peloponnesian (of people)
Πελοποννησιακός	Peloponnesian (of things)
Περίκλειος	of Pericles
Περγαμηνός	of Pergamum
Περσεύς	Perseus
Περσικός	Persian
Περύσιος	of Perusia
Πηλήϊος	of Peleus
Πηλήϊος	of Peleus
Πηλεύς	Peleus
Πηλιάς	of mount Pelion
Πιερικός	of Pieria
Πινδάρειος	of Pindar
Πισίδαι	Pisidians
Πισαῖος	of or from Pisa
Πιττάκειος	of Pittacus
Πλαταιικός	of  Plataea
Πλαταϊκός	Plataean
Πλευρώνιος	inhabitant of Pleuron
Πολυκράτειος	of or belonging to Polycrates
Ποντικός	from Pontus, Pontic
Ποσειδώνιος	sacred to Poseidon
Ποσιδήϊος	sacred to Poseidon
Ποτάμιος	inhabitant of the deme of Potami
Πράμνειος	Pramnian
Πρίαπος	Priapus
Πριάπειος	of Priapus
Πριαμικός	of or like Priam
Πρωταγόρειος	of Protagoras
Πυγελεύς	of Pygela
Πυθαγορικός	of Pythagoras, Pythagorean
Πυθαγόρειος	of Pythagoras, Pythagorean
Πυθικός	of/for Pytho, Pythian
Πυθιόνικος	of/belonging to Pythian victory
